Unnamed: 0.1,Unnamed: 0,db_id,query,query_toks,question,question_toks,sql,context
59,17,GeoNuclearData,"SELECT Longitude, Latitude FROM nuclear_power_plants WHERE ReactorType = ""BWR"" ORDER BY ConstructionStartAt LIMIT 1","['SELECT', 'Longitude,', 'Latitude', 'FROM', 'nuclear_power_plants', 'WHERE', 'ReactorType', '=', '""BWR""', 'ORDER', 'BY', 'ConstructionStartAt', 'LIMIT', '1']",Where is the first BWR type power plant built and located?,"['Where', 'is', 'the', 'first', 'BWR', 'type', 'power', 'plant', 'built', 'and', 'located?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 4, False], None]], [0, [0, [0, 3, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""BWR""', None]], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 9, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
21,21,GeoNuclearData,SELECT Country FROM nuclear_power_plants ORDER BY OperationalFrom LIMIT 1,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'ORDER', 'BY', 'OperationalFrom', 'LIMIT', '1']",Which country first started using nuclear power plant(s)?,"['Which', 'country', 'first', 'started', 'using', 'nuclear', 'power', 'plant(s)?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 10, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
56,14,GeoNuclearData,"SELECT max(Capacity) FROM nuclear_power_plants WHERE ReactorType = ""PWR"" and Status = ""Operational""","['SELECT', 'max(Capacity)', 'FROM', 'nuclear_power_plants', 'WHERE', 'ReactorType', '=', '""PWR""', 'and', 'Status', '=', '""Operational""']",What is the maximum capacity of existing pressurized water reactor?,"['What', 'is', 'the', 'maximum', 'capacity', 'of', 'existing', 'pressurized', 'water', 'reactor?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[1, [0, [0, 12, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""PWR""', None], 'and', [False, 2, [0, [0, 6, False], None], '""Operational""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
18,18,GeoNuclearData,SELECT ReactorModel FROM nuclear_power_plants GROUP BY ReactorModel ORDER BY count(*) DESC LIMIT 1,"['SELECT', 'ReactorModel', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'ReactorModel', 'ORDER', 'BY', 'count(*)', 'DESC', 'LIMIT', '1']",What nuclear reactor model is the most popular?,"['What', 'nuclear', 'reactor', 'model', 'is', 'the', 'most', 'popular?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 8, False], None]]]], 'where': [], 'groupBy': [[0, 8, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
33,1,GeoNuclearData,"SELECT Name, Country FROM nuclear_power_plants WHERE Status = ""Planned""","['SELECT', 'Name,', 'Country', 'FROM', 'nuclear_power_plants', 'WHERE', 'Status', '=', '""Planned""']",What are the planed nuclear power plants and their located countries?,"['What', 'are', 'the', 'planed', 'nuclear', 'power', 'plants', 'and', 'their', 'located', 'countries?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 5, False], None]]]], 'where': [[False, 2, [0, [0, 6, False], None], '""Planned""', None]], 'groupBy': [], 'having': [], 'orderBy': [], 'limit': None, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
42,0,GeoNuclearData,SELECT Country FROM nuclear_power_plants GROUP BY Country ORDER BY sum(Capacity) DESC LIMIT 1,"['SELECT', 'Country', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'Country', 'ORDER', 'BY', 'sum(Capacity)', 'DESC', 'LIMIT', '1']",Which country has the most capacities of nuclear power plants?,"['Which', 'country', 'has', 'the', 'most', 'capacities', 'of', 'nuclear', 'power', 'plants?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 5, False], None]]]], 'where': [], 'groupBy': [[0, 5, False]], 'having': [], 'orderBy': ['desc', [[0, [4, 12, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
50,8,GeoNuclearData,SELECT ReactorModel FROM nuclear_power_plants GROUP BY ReactorModel ORDER BY count(*) DESC LIMIT 1,"['SELECT', 'ReactorModel', 'FROM', 'nuclear_power_plants', 'GROUP', 'BY', 'ReactorModel', 'ORDER', 'BY', 'count(*)', 'DESC', 'LIMIT', '1']",What nuclear reactor model is the most popular?,"['What', 'nuclear', 'reactor', 'model', 'is', 'the', 'most', 'popular?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 8, False], None]]]], 'where': [], 'groupBy': [[0, 8, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
27,27,GeoNuclearData,"SELECT Longitude, Latitude FROM nuclear_power_plants WHERE ReactorType = ""BWR"" ORDER BY ConstructionStartAt LIMIT 1","['SELECT', 'Longitude,', 'Latitude', 'FROM', 'nuclear_power_plants', 'WHERE', 'ReactorType', '=', '""BWR""', 'ORDER', 'BY', 'ConstructionStartAt', 'LIMIT', '1']",Where is the first BWR type power plant built and located?,"['Where', 'is', 'the', 'first', 'BWR', 'type', 'power', 'plant', 'built', 'and', 'located?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 4, False], None]], [0, [0, [0, 3, False], None]]]], 'where': [[False, 2, [0, [0, 7, False], None], '""BWR""', None]], 'groupBy': [], 'having': [], 'orderBy': ['asc', [[0, [0, 9, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE `nuclear_power_plants` (`Id`, `Name`, `Latitude`, `Longitude`, `Country`, `Status`, `ReactorType`, `ReactorModel`, `ConstructionStartAt`, `OperationalFrom`, `OperationalTo`, `Capacity`, `LastUpdatedAt`, `Source`)']"
92,1,GreaterManchesterCrime,"SELECT CrimeID FROM GreaterManchesterCrime WHERE Type = ""Violence and sexual offences"" ORDER BY CrimeTS DESC LIMIT 1","['SELECT', 'CrimeID', 'FROM', 'GreaterManchesterCrime', 'WHERE', 'Type', '=', '""Violence', 'and', 'sexual', 'offences""', 'ORDER', 'BY', 'CrimeTS', 'DESC', 'LIMIT', '1']",When was the last instance of a violent or sexual offense in Manchester?,"['When', 'was', 'the', 'last', 'instance', 'of', 'a', 'violent', 'or', 'sexual', 'offense', 'in', 'Manchester?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 1, False], None]]]], 'where': [[False, 2, [0, [0, 5, False], None], '""Violence and sexual offences""', None]], 'groupBy': [], 'having': [], 'orderBy': ['desc', [[0, [0, 2, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE GreaterManchesterCrime(CrimeID TEXT PRIMARY KEY, CrimeTS TIMESTAMP, Location TEXT, LSOA TEXT,Type TEXT, Outcome TEXT)']"
71,7,GreaterManchesterCrime,SELECT Location FROM GreaterManchesterCrime GROUP BY Location ORDER BY count(*) DESC LIMIT 1,"['SELECT', 'Location', 'FROM', 'GreaterManchesterCrime', 'GROUP', 'BY', 'Location', 'ORDER', 'BY', 'count(*)', 'DESC', 'LIMIT', '1']",Which area do most of the crimes happen?,"['Which', 'area', 'do', 'most', 'of', 'the', 'crimes', 'happen?']","{'from': {'table_units': [['table_unit', 0]], 'conds': []}, 'select': [False, [[0, [0, [0, 3, False], None]]]], 'where': [], 'groupBy': [[0, 3, False]], 'having': [], 'orderBy': ['desc', [[0, [3, 0, False], None]]], 'limit': 1, 'intersect': None, 'union': None, 'except': None}","['CREATE TABLE GreaterManchesterCrime(CrimeID TEXT PRIMARY KEY, CrimeTS TIMESTAMP, Location TEXT, LSOA TEXT,Type TEXT, Outcome TEXT)']"
